날짜,V1
2018-01-01,0.3306461382879916
2018-01-02,0.4182421647195105
2018-01-03,0.30725356818858574
2018-01-04,0.441689252868969
2018-01-05,0.402439688154806
2018-01-06,0.026509096910438013
2018-01-07,0.5421275699820371
2018-01-08,0.1382914781789525
2018-01-09,0.8253924392387987
2018-01-10,0.39067578816136783
2018-01-11,0.292083272781281
2018-01-12,0.42617467096182804
2018-01-13,0.5969798795518586
2018-01-14,0.1541311263182651
2018-01-15,0.7641064572060593
2018-01-16,0.9494384627660327
2018-01-17,0.992762131422174
2018-01-18,0.8514102438857201
2018-01-19,0.7070402715223211
2018-01-20,0.48753843553646703
2018-01-21,0.038179123280457805
2018-01-22,0.4177200856236366
2018-01-23,0.3982980604520978
2018-01-24,0.8437218774764438
2018-01-25,0.16846129316910408
2018-01-26,0.7594461672138068
2018-01-27,0.8098934467423882
2018-01-28,0.3048754394472595
2018-01-29,0.40873667358386134
2018-01-30,0.02347679028013039
2018-01-31,0.8102292516229606
2018-02-01,0.3005541377486942
2018-02-02,0.3905959208221793
2018-02-03,0.42420718637466004
2018-02-04,0.020070152996269686
2018-02-05,0.8467401522035335
2018-02-06,0.015267126718304436
2018-02-07,0.9988527710490711
2018-02-08,0.7667216797624465
2018-02-09,0.8964041516705828
2018-02-10,0.7352193681213052
2018-02-11,0.5225215430978639
2018-02-12,0.30588199897467105
2018-02-13,0.7373770677682762
2018-02-14,0.10803926857866519
2018-02-15,0.24844446415967758
2018-02-16,0.8517528975291326
2018-02-17,0.7364196813396314
2018-02-18,0.5450716924598822
2018-02-19,0.9069768589466138
2018-02-20,0.2820671670140815
2018-02-21,0.7702839423554854
2018-02-22,0.6237773979405161
2018-02-23,0.06304295866662601
2018-02-24,0.926616937085964
2018-02-25,0.2978292262970995
2018-02-26,0.8272123739458742
2018-02-27,0.7682930950763384
2018-02-28,0.38152672163757895
2018-03-01,0.6573453457569285
2018-03-02,0.3935868456271282
2018-03-03,0.17803073939814495
2018-03-04,0.9999246245315103
2018-03-05,0.5782390688921227
2018-03-06,0.7287257758222758
2018-03-07,0.8868602928301925
2018-03-08,0.885970738409068
2018-03-09,0.7324079440840758
2018-03-10,0.1891193187361515
2018-03-11,0.8704811371982433
2018-03-12,0.040655821731537034
2018-03-13,0.23671808662379745
2018-03-14,0.43654122371995097
