date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
2016-04-10 00:00:00,60,0.0,22.2,40.79,19.7,43.9,22.823333333333295,39.7,20.5,38.59,20.04,46.736,7.366666666666669,55.73,21.7,36.59,22.89,40.518,20.1,40.23,7.1,750.7,93.0,2.0,40.0,6.0
2016-04-10 00:10:00,40,0.0,22.1333333333333,40.79,19.7,43.9666666666667,22.89,39.7,20.5,38.59,20.014285714285695,46.712857142857104,7.22666666666667,55.8633333333333,21.7,36.73,22.89,40.668571428571404,20.1,40.43,,,93.6666666666667,1.8333333333333297,38.16666666666669,6.01666666666667
2016-04-10 00:20:00,60,0.0,22.1,40.745,19.6,43.9,22.823333333333295,39.6266666666667,20.5,38.59,20.0,46.7,7.06,56.23,21.7,36.79,22.89,40.94,20.1,40.6566666666667,6.93333333333333,750.866666666667,94.3333333333333,1.66666666666667,36.3333333333333,6.03333333333333
2016-04-10 00:30:00,40,0.0,,40.76,19.5,44.0,22.89,39.7,20.5,38.59,20.0,46.7,7.0,56.49,21.7,36.933333333333294,22.832857142857105,41.09571428571431,20.1,,6.85,750.95,95.0,1.5,34.5,6.05
2016-04-10 00:40:00,50,0.0,22.0,40.6266666666667,19.5,44.06,22.89,39.7,20.39,,20.0,46.6175,7.0,56.89,21.7,37.1333333333333,22.79,41.514,20.1,41.23,6.76666666666667,751.033333333333,95.6666666666667,,32.66666666666669,6.06666666666667
2016-04-10 00:50:00,50,0.0,22.0,,19.463333333333296,44.06,22.89,39.7,20.4175,,20.0,46.656,7.0,57.09,21.7,37.2,,41.59,20.1,41.43,6.68333333333333,751.116666666667,96.3333333333333,1.16666666666667,30.8333333333333,6.0833333333333295
2016-04-10 01:00:00,50,0.0,21.926666666666698,40.59,19.39,44.06,22.856666666666698,39.6633333333333,20.426666666666698,38.6266666666667,20.0,46.6371428571429,6.695,56.395,21.7,37.26,22.79,,20.1333333333333,41.6266666666667,,751.2,97.0,1.0,29.0,6.1
2016-04-10 01:10:00,50,0.0,21.89,40.59,19.39,44.09,22.79,39.59,20.39,,20.0,46.7,6.23,55.56666666666669,21.7,37.433333333333294,22.79,41.59,20.1333333333333,41.76,6.5833333333333295,751.266666666667,96.8333333333333,1.16666666666667,29.0,6.06666666666667
2016-04-10 01:20:00,50,0.0,21.89,40.59,19.323333333333295,44.09,22.856666666666698,39.6633333333333,20.39,38.59,20.0,46.7,6.03,55.9,21.7,37.5,,41.59,20.1666666666667,41.8266666666667,6.56666666666667,751.333333333333,96.6666666666667,1.33333333333333,29.0,6.03333333333333
2016-04-10 01:30:00,60,0.0,21.856666666666698,40.59,19.29,44.1266666666667,22.856666666666698,39.6633333333333,20.39,38.59,20.0,46.656,5.83,56.26,21.7,37.53,22.7385714285714,41.4971428571429,20.1666666666667,41.9666666666667,6.55,751.4,96.5,1.5,29.0,6.0
2016-04-10 01:40:00,60,0.0,21.79,40.59,19.23,44.1266666666667,22.89,39.7,20.39,38.59,20.0,46.68428571428571,5.56333333333333,55.7933333333333,21.7,37.6633333333333,22.7,41.4,20.1333333333333,42.23,6.53333333333333,751.466666666667,96.3333333333333,1.66666666666667,29.0,5.96666666666667
2016-04-10 01:50:00,60,0.0,21.79,40.59,19.2,44.09,22.89,39.7,20.39,38.59,20.0,46.7,5.4,56.2266666666667,21.7,37.59,22.7,41.337142857142894,20.2,42.43,6.51666666666667,751.533333333333,96.1666666666667,1.8333333333333297,29.0,
2016-04-10 02:00:00,50,0.0,21.73,40.59,19.2,44.1633333333333,22.89,39.59,20.39,38.59,20.0,46.6528571428571,5.3333333333333295,56.6333333333333,21.7,37.6266666666667,22.7,41.272,20.2,,6.5,751.6,96.0,2.0,29.0,5.9
2016-04-10 02:10:00,50,0.0,21.7,40.59,19.1,44.2,22.89,39.59,20.39,38.59,19.934,46.7,5.126666666666669,55.99,21.7,37.6266666666667,22.6714285714286,41.1428571428571,20.2,42.79,6.4,751.616666666667,96.1666666666667,2.0,28.166666666666693,5.81666666666667
2016-04-10 02:20:00,50,0.0,21.7,40.59,19.1,44.26,22.89,39.53,20.39,,19.952857142857095,46.7,4.93333333333333,,21.7,37.53,22.6,40.9,20.2,42.95,6.3,751.6333333333331,96.3333333333333,2.0,27.3333333333333,5.73333333333333
2016-04-10 02:30:00,40,0.0,21.7,40.59,19.0,44.2,22.823333333333295,39.53,20.356666666666698,38.59,,46.678,4.8,56.4933333333333,21.7,37.59,22.6,40.79,20.2,43.1266666666667,6.2,751.65,96.5,2.0,26.5,5.65
2016-04-10 02:40:00,60,0.0,21.7,40.53,19.0,44.26,22.84,39.45,20.29,38.59,19.968571428571398,46.6685714285714,4.8,57.4933333333333,21.7,37.7,22.6,40.7771428571429,20.2,43.2,6.1,751.6666666666669,96.6666666666667,2.0,25.666666666666693,5.56666666666667
