date,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
2016-05-25 00:00:00,0,24.26,40.363333333333294,21.963333333333296,41.7,25.29,39.4,24.2,40.363333333333294,21.68,38.772,9.05555555555556,23.9411111111111,23.2,34.98,24.7,46.09,22.5,40.5,9.3,758.2,81.0,1.0,29.0,6.1
2016-05-25 00:10:00,0,24.2,40.29,,41.76,25.39,39.433333333333294,24.2,40.23,21.571428571428598,38.7,9.0,24.596666666666696,23.2,35.0,24.7,46.0128571428571,22.5,40.55,9.21666666666667,758.1833333333329,81.8333333333333,1.0,29.0,6.16666666666667
2016-05-25 00:20:00,0,24.2,40.29,21.856666666666698,41.9,25.39,39.5,24.2,40.06,21.5,38.7,8.96333333333333,25.263333333333296,23.2,35.0,24.64,45.94,22.5,40.8333333333333,9.133333333333328,758.1666666666669,82.6666666666667,1.0,29.0,6.23333333333333
2016-05-25 00:30:00,0,24.2,40.3266666666667,21.79,41.9,25.39,39.53,24.1333333333333,39.933333333333294,21.437142857142895,38.712857142857104,8.89,26.0633333333333,23.2,35.0,24.6,45.9,22.5,41.06666666666669,9.05,758.15,83.5,1.0,29.0,6.3
2016-05-25 00:40:00,0,24.2,40.4,21.79,42.03,25.39,39.59,24.1,39.845,21.39,38.772,8.76333333333333,26.4933333333333,23.2,35.09,24.6,46.0,22.525,41.32,8.96666666666667,758.1333333333331,84.3333333333333,1.0,29.0,6.36666666666667
2016-05-25 00:50:00,0,24.1666666666667,40.4,21.73,42.09,25.39,39.6266666666667,,39.76,21.3185714285714,38.76428571428569,8.63,27.233333333333295,23.2,35.09,24.6,46.0514285714286,22.533333333333296,41.56,8.88333333333333,758.116666666667,85.1666666666667,1.0,29.0,6.43333333333333
2016-05-25 01:00:00,0,24.1,40.4,21.7,42.245,25.39,39.7,24.0,39.6266666666667,21.2675,38.8725,8.56666666666667,27.96,23.1,35.09,24.6,46.076,22.5,41.7666666666667,8.8,758.1,86.0,1.0,29.0,6.5
2016-05-25 01:10:00,0,24.1,40.4,21.7,42.29,25.39,39.7,24.0,39.59,21.2,38.79,8.42666666666667,28.8933333333333,23.1,35.09,24.571428571428598,,22.566666666666695,41.9666666666667,8.65,758.0499999999998,87.0,1.0,29.0,6.51666666666667
2016-05-25 01:20:00,0,24.1,40.4,21.7,42.363333333333294,25.39,39.7,24.0,39.53,21.1428571428571,38.79,8.29,29.645,23.2,35.1266666666667,24.5,45.856,22.6,42.2666666666667,8.5,758.0,88.0,1.0,,6.53333333333333
2016-05-25 01:30:00,0,24.1,40.4,21.6,42.4,25.39,39.73,24.0,39.5,21.1,38.79,7.93333333333333,29.5566666666667,23.1333333333333,35.20000000000001,24.542857142857095,45.6971428571429,22.533333333333296,42.52666666666669,8.349999999999998,757.95,89.0,1.0,29.0,6.55
2016-05-25 01:40:00,0,24.033333333333296,40.3266666666667,21.6,42.4666666666667,25.39,39.79,24.0,39.5,21.028571428571396,38.7257142857143,7.72666666666667,30.096666666666696,23.1,35.20000000000001,24.54,,22.6,42.8266666666667,8.199999999999998,757.9,90.0,1.0,29.0,6.56666666666667
2016-05-25 01:50:00,0,24.0,40.29,21.566666666666695,42.53,25.39,39.79,23.89,39.5,20.956,38.7,7.43333333333333,,23.1,35.20000000000001,24.5,45.194285714285705,22.6,42.9666666666667,8.05,757.85,91.0,1.0,29.0,6.5833333333333295
2016-05-25 02:00:00,0,,40.29,21.566666666666695,42.59,25.463333333333296,39.863333333333294,23.89,39.5,20.89,38.7,7.16,31.8966666666667,23.1,35.20000000000001,24.5,44.9,22.6,43.1266666666667,7.9,,92.0,1.0,29.0,6.6
2016-05-25 02:10:00,0,24.0,40.29,,42.59,25.5,39.863333333333294,23.823333333333295,39.433333333333294,20.83,38.58,6.89666666666667,32.66666666666669,23.1,35.20000000000001,24.5,44.7385714285714,,43.2,7.8333333333333295,757.766666666667,92.0,1.0,29.0,6.55
